index,name,lat,lng,category,img_url
0,뽕나무쟁이 선릉본점,37.5031613,127.0519876,"족발,보쌈",https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171221_90%2F1513785336268TwyFM_JPEG%2FM5Ffg6fs2mzAvBkdRY4D3qn3.jpg
1,농민백암순대 본점,37.5037065,127.0530366,순대,https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_25%2F14409944254375mqT0_JPEG%2F106470458539103_1.jpg
2,도쿄등심 선릉점,37.5047331,127.0484548,"육류,고기",https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200831_70%2F1598840553242qur3U_JPEG%2F2cf3x-qkQpR19CBSA7ggo3il.jpg
3,마담밍 선릉점,37.5034237,127.0502256,중식,https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200809_207%2F1596901659370KIu4O_JPEG%2FjXRIXr4edUWIG76lh0LW69_-.jpg
4,신동궁감자탕뼈숯불구이 선릉직영점,37.5040676,127.0528651,한식,https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_165%2F1441049769032BsCtX_JPEG%2F11832088_0.jpg
5,경천애인2237,37.5059881,127.0525341,"육류,고기",https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_282%2F1441023488528B5Yyu_JPEG%2FSUBMIT_1367836240851_32389127.jpg
6,김돈이 본점,37.5060675,127.0492318,"육류,고기",https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/61216_1448372772527.jpg
7,진풍정 강남점,37.5031376,127.0479265,한정식,https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190821_102%2F1566380610066Dp7eP_JPEG%2FUfVZz_ASyGoFXLwaNGU3hbfr.jpg
8,신도세기 선릉점,37.5031376,127.0479265,"육류,고기",https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171120_133%2F1511169164091srqKe_JPEG%2F8fbHvWv2dapb8t__3QurZJud.JPG.jpg
9,별양집,37.5043565,127.0436527,"곱창,막창",https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170103_54%2F1483378722813hlUFl_JPEG%2F186053426862444_2.jpeg
