name|siksin|naver|mango|kakao|p_total_rating
1260이베리코흑돼지 강남직영점||||3.4|3.4
24시와구아구||||3.3|3.3
5k치킨 선릉본점|2.9||||2.9
60년전통 신촌황소곱창 선릉직영점||4.16|3.7|3.0|3.62
7%칠백식당 포스코직영점|2.9|||5.0|3.95
705사케집 선릉점||||3.0|3.0
72420||4.56|||4.56
88노가리 선릉본점||||2.0|2.0
ALOY THAI|2.5||||2.5
Band of Brewers|2.7||||2.7
Cakery루킹래징||4.49|||4.49
Coffee Bar K||4.5|||4.5
FIREBELL||4.45|||4.45
JVL부대찌개 포스코점||||4.3|4.3
OPH 센터필드점||4.71|||4.71
Vin Ta|2.8||||2.8
가나돈까스의집|3.4|||2.4|2.9
가연||||3.4|3.4
갈맛집||||4.0|4.0
갈비삼대참숯구이전문 강남역삼점||||5.0|5.0
강남면옥 대치점||||2.6|2.6
강남묵호등대||||4.8|4.8
강남본가가마골||||3.7|3.7
강남샤오츠||||5.0|5.0
강남수랏간||4.32||3.2|3.76
강정희간장새우||4.51||4.5|4.5
개그맨정용국의용곱창||4.43||4.6|4.51
개나리아구찜||4.38|||4.38
겐비이자카야||||3.0|3.0
겐지야|3.3||||3.3
경성양꼬치 선릉직영점||4.3|||4.3
경주천년한우 |3.3||||3.3
경천애인2237|4.0|4.38|4.3|4.1|4.2
경평면옥||||3.5|3.5
고갯마루||||3.5|3.5
고기고샵 삼성역점||||3.0|3.0
고담식당||4.42|||4.42
고메갈비 선릉본점||4.61|||4.61
고메고매 선릉직영점|3.3|4.32||3.9|3.84
고메램 삼성점||||3.4|3.4
고메홈|3.5|4.09||1.0|2.86
고반식당 삼성점||||3.0|3.0
고반식당 선릉점||4.33||4.1|4.22
고운님|3.9||||3.9
고운님한우곱창||4.34||3.0|3.67
곰바위||||3.3|3.3
곰작골나주곰탕 선릉점||4.23||2.8|3.52
광수사||||3.8|3.8
광주식당||4.08||2.8|3.44
교대이층집 삼성점||||3.4|3.4
교대이층집 선릉점||||3.8|3.8
교동전선생 선릉역점||||3.7|3.7
구룡포|2.8||||2.8
구을가||||4.5|4.5
구이마마 대치점||||4.4|4.4
국고집||4.51||3.0|3.76
군자대한곱창 선릉점||3.95||2.8|3.38
그란구스또||||3.9|3.9
그릴1492 삼성1호점||4.67||3.9|4.28
금계찜닭 법인직영선릉점|4.2||||4.2
금복당||||4.7|4.7
금수복국 대치점||||3.3|3.3
기네스하우스||||0.0|0.0
기세끼 선릉점||3.98||2.4|3.19
긴자카레||4.26|||4.26
김돈이 본점|3.5|4.48|4.1|4.0|4.02
김봉남포장마차 선릉점||4.49||3.0|3.74
김양||||3.4|3.4
김영태스시앤사시미마을 강남본점||||3.4|3.4
김태완스시||||2.9|2.9
김태주선산곱창 강남점||4.47||4.4|4.44
깡장시골보리밥|2.9||||2.9
깽스떡볶이|||3.9||3.9
껠끄쇼즈||||4.3|4.3
꽃보다등심||4.19|||4.19
꽃새우영번지 역삼점||4.16||3.0|3.58
나능이능이버섯백숙 대치점||4.55|||4.55
나따오비까 대치점||||3.9|3.9
나무||||2.0|2.0
나비식탁|3.5||||3.5
나주육곱식당 강남직영점||||4.0|4.0
나향반점||||4.4|4.4
나현석의해물손칼국수||4.31|||4.31
난만||||3.3|3.3
남도구들한정식 본점||4.13||3.3|3.72
남도사계고운님||||3.8|3.8
남산노포식당 선릉본점||||4.0|4.0
남원추어탕|2.7|||4.3|3.5
낭만옵빠 선릉점||||3.7|3.7
내여자를부탁해|2.8||||2.8
너와집 삼성점|2.9||||2.9
네모오징어 선릉점||||0.0|0.0
노가리슈퍼 선릉점||||4.8|4.8
노란주전자|2.6||||2.6
놀란치킨 선릉점||||4.0|4.0
농민백암순대 본점|4.3|4.49|4.4|4.3|4.37
누구나홀딱반한닭 선릉점||||3.0|3.0
능라도 강남점||||3.7|3.7
니뽕내뽕 선릉점||4.41||3.8|4.11
다노이 선릉점||||3.3|3.3
다인참치|2.6||||2.6
단초식당 선릉점||4.5|||4.5
달빛보쌈 논현점|2.6|||3.6|3.1
달콤한고양이 대치점||||4.9|4.9
담뿍화로된장찌개 대치점||||4.0|4.0
대도식당 삼성점|3.9|4.24|3.8|3.3|3.81
대독장 역삼점||||3.3|3.3
대우부대찌개||||3.8|3.8
대찬횟집||||2.7|2.7
대초원양꼬치|2.7||||2.7
대치동 밥술||4.52|||4.52
대치동 우노|4.2||||4.2
대치동집||4.22||4.5|4.36
대치정육식당 본점||4.58||3.8|4.19
대파양곱창||4.5||4.0|4.25
대파집||||2.9|2.9
더 피자스탠드||4.68|||4.68
더드림 선릉점||4.25|||4.25
더뭉티기||4.44|||4.44
더차이나||||3.3|3.3
더차이홍 삼성점||||4.7|4.7
더피자스탠드||||4.4|4.4
던킨도너츠 선릉역점||4.45||2.3|3.38
데쎄르룸||||5.0|5.0
델라마노 시가바||4.21|||4.21
델리유|3.1||||3.1
도마다리뼈다귀감자탕||||5.0|5.0
도스타코스 선릉점||4.34|||4.34
도원||||3.9|3.9
도쿄등심 선릉점|4.6|4.51|3.6|3.2|3.98
도쿄술집 선릉역점||||1.0|1.0
돈그리아|3.2||4.1|3.6|3.63
동대문엽기떡볶이 대치점||||1.8|1.8
동래정 선릉직영점||4.93||5.0|4.96
동보성 강남점||4.54||3.4|3.97
동촌 대치점||4.47|||4.47
동해수산||4.25||2.3|3.28
동해식당||||5.0|5.0
돝고기506||||3.1|3.1
돼지연구소 선정릉직영점||||4.0|4.0
두꺼비정육점식당|3.8||||3.8
두레국수|3.6|4.28||3.3|3.73
등촌샤브칼국수 선릉점||4.39||3.4|3.89
디어무드 더모먼트||4.98|||4.98
딸부자네불백 역삼점|4.0|||3.8|3.9
뚜레쥬르 카페선릉역점||||3.2|3.2
뚝심한우 선릉역점||4.43||3.3|3.86
라무진 선릉역점||4.77||4.0|4.38
