name,count,category
1260이베리코흑돼지 강남직영점,1,"육류,고기"
24시와구아구,1,"해물,생선"
60년전통 신촌황소곱창 선릉직영점,1,"곱창,막창"
7%칠백식당 포스코직영점,1,"육류,고기"
705사케집 선릉점,1,술집
88노가리 선릉본점,1,술집
CSI VR방탈출카페 대치선릉점,1,카페
JVL부대찌개 포스코점,1,"찌개,전골"
가나돈까스의집,2,"돈까스,우동"
가연,2,국수
갈맛집,1,갈비
갈비삼대참숯구이전문 강남역삼점,1,갈비
강남면옥 대치점,1,냉면
강남묵호등대,1,회
강남본가가마골,1,"육류,고기"
강남샤오츠,1,중식
강남수랏간,3,"육류,고기"
강정희간장새우,1,"해물,생선"
개그맨정용국의용곱창,1,"곱창,막창"
겐비이자카야,2,술집
경천애인2237,3,"육류,고기"
경평면옥,1,냉면
고갯마루,1,닭요리
고기고샵 삼성역점,1,"육류,고기"
고메고매 선릉직영점,1,"육류,고기"
고메램 삼성점,1,"육류,고기"
고메홈,4,한식
고반식당 삼성점,1,"육류,고기"
고반식당 선릉점,2,"육류,고기"
고운님한우곱창,2,"곱창,막창"
곰바위,1,"곱창,막창"
곰작골나주곰탕 선릉점,2,보양식
광수사,2,일식
광주식당,3,한식
교대이층집 삼성점,1,"육류,고기"
교대이층집 선릉점,1,"육류,고기"
교동전선생 선릉역점,1,술집
구을가,1,"육류,고기"
구이마마 대치점,1,"육류,고기"
국고집,2,"육류,고기"
군자대한곱창 선릉점,2,"곱창,막창"
그란구스또,1,이탈리아음식
그릴1492 삼성1호점,2,"육류,고기"
금복당,1,술집
금수복국 대치점,1,보양식
기네스하우스,1,술집
기세끼 선릉점,2,술집
김돈이 본점,2,"육류,고기"
김봉남포장마차 선릉점,2,술집
김양,1,양꼬치
김영태스시앤사시미마을 강남본점,1,"초밥,롤"
김태완스시,1,일식
김태주선산곱창 강남점,1,"곱창,막창"
껠끄쇼즈,1,디저트
꽃새우영번지 역삼점,1,"해물,생선"
나따오비까 대치점,1,디저트
나무,1,술집
나주육곱식당 강남직영점,1,"곱창,막창"
나향반점,1,중화요리
난만,1,카페
남도구들한정식 본점,1,한정식
남도사계고운님,1,"해물,생선"
남산노포식당 선릉본점,1,"곱창,막창"
남원추어탕,2,"해물,생선"
낭만옵빠 선릉점,1,술집
네모오징어 선릉점,1,"해물,생선"
노가리슈퍼 선릉점,1,술집
놀란치킨 선릉점,1,치킨
농민백암순대 본점,3,순대
누구나홀딱반한닭 선릉점,1,치킨
능라도 강남점,1,냉면
니뽕내뽕 선릉점,2,퓨전요리
다노이 선릉점,1,카페
달빛보쌈 논현점,2,"족발,보쌈"
달콤한고양이 대치점,1,디저트
담뿍화로된장찌개 대치점,1,"찌개,전골"
대도식당 삼성점,3,"육류,고기"
대독장 역삼점,1,"찌개,전골"
대우부대찌개,1,"찌개,전골"
대찬횟집,1,회
대치동집,3,"육류,고기"
대치정육식당 본점,1,"육류,고기"
대파양곱창,2,"곱창,막창"
대파집,1,"육류,고기"
더차이나,1,중화요리
더차이홍 삼성점,1,중화요리
더피자스탠드,2,이탈리아음식
던킨도너츠 선릉역점,1,"제과,베이커리"
데쎄르룸,1,디저트
도마다리뼈다귀감자탕,1,한식
도원,1,중화요리
도쿄등심 선릉점,3,"육류,고기"
도쿄등심 선릉점,3,"육류,고기"
도쿄술집 선릉역점,1,술집
돈그리아,3,"육류,고기"
동대문엽기떡볶이 대치점,1,떡볶이
동래정 선릉직영점,2,"육류,고기"
동보성 강남점,2,중화요리
동해수산,2,회
동해식당,1,한식
돝고기506,1,"육류,고기"
돼지연구소 선정릉직영점,1,"육류,고기"
두레국수,3,국수
등촌샤브칼국수 선릉점,2,보양식
딸부자네불백 역삼점,1,한식
뚜레쥬르 카페선릉역점,1,"제과,베이커리"
