업소명,날짜,리뷰,평점
모찌방,2021-07-26,"
          오랜만에 간 모찌방. 코로나도 그렇고 주차도 애매해서 밤 오하기와 초당옥수수 오하기 그리고 새로나온 매실 젤리를 포장했다. 초당옥수수를 엄청 기대했는데 밥알이 붙어있어서 정말 당황스러웠고.. 안에 하얀 앙금이 들어있는데 개인적으로는 취향이 영 아니었다. 여기는 밤 오하기가 제일 맛있는 것 같음. 매실 젤리는 안에 절인 매실이 들어있는데 씨가 발려져있지 않아서 먹기가 너무 불편해 갉아먹다 포기했음. 푸딩은 사이즈가 아주 작고 겉은 매실 향이 은은하게 나는 엄청 쫀득탱글한 질감이다. 너무 쫀득거려서 숟가락으로 떠먹기가 조금 불편할 정도. 여기는 꼭 머물러서 먹는게 좋은 것 같고 밤 오하기는 무조건 먹는걸로..! 
        ",3
모찌방,2021-07-16,"
          달지 않아서 아쉽다는 후기평을 보고 오히려 꼭 방문해야겠다 생각한 모찌방에 드디어 방문했어요! 밤 오하기를 먼저 시켰는데 너무 맛있어서 다른 것들도 친구랑 같이 시켰어요 초당옥수수는 식감이 찹쌀과 떡 사이라고 해야되나 특이했는데 시킨 것 중에서 제일 오래 기억에 남는 오하기! 녹차가 찻잔이 아니라 사발(?)에 나온 것도 신기했어요 
        ",5
모찌방,2021-06-20,"
          대치동 뒷골목에 예쁜 디저트 가게가 있었네요. 선릉역에서 저녁먹고 집으로 걸어가는 길에 들려서 모찌와 양갱을 잔뜩 사왔어요.다음번에는 테이크아웃하지 않고 매장에서 먹어봐야겠습니다 :)뭉뭉
        ",5
모찌방,2021-05-08,"
          달지 않아서 내게는 아쉬웠다.원래 단맛을 무척 좋아해서 그런지 단맛이 0으로 수렴하는 모찌는 내게 좀 낯설었다. 엄밀히 말하면 전분이 느껴지는 흰 앙금이 달지가 않으면 높은 확률로 체해서 본능적으로 꺼려진다.#산딸기 모찌붉은 떡 안에 하얀 앙금과 산딸기 소스가 있다. 산딸기 소스 괜춘했는데 단 맛 없는 앙금이랑 잘 어울리는지는 모르겠다.#밤 오하기기대 안했는데 이게 더 맛있었다! 차라리 밤 으깬 것이 덜 거부감 들었다. 조린 밤도 맛잇었음매장이 예쁘고 말차 격불해주는 메뉴도 있고, 호지차 주전자도 멋스러워서+ 호지차 아이스크림 먹으러 매장 방문은 한 번 더 할듯! 원래 말차 마시러 갔었는데 홀 마감이 7시라서 못마시고 모찌만 포장해와서 아쉬웠다.괜찮다 주긴 했지만 매장 분위기도 좋고 아이템이 좋아서 지인 데려갈만하다. 
        ",3
모찌방,2021-05-07,"
          카네이션만 사다 먹었는데 그닥,,말차를 함 먹어보고 싶음.말차라떼도 사먹었는뎅 그냥 쏘쏘여서 의외,,일단 더 도전해보고 또 리뷰하겄소
        ",3
모찌방,2021-04-23,"
          오하기 오하기(おはぎ)는 으깨지 않은 앙금으로 만든 모찌하 식감이 더 살아있는데 한국에서는 오라기 전문점이 드물어 몹시 반가웠다. 다양한 전통적인 한국의 맛을 일본 디저트로 표현하는 곳은 아마 모찌방 밖에 없을듯하다. 이 날 고른 모찌들은 다 떡으로 만들어졌지만 감태모찌 같이 특정 오하기들은 쌀로도 만들어져서 고르고 맛보는 재미도 있다. 말차 미즈요캉   다른 메뉴들의 부담스러울 정도로 큰 양에 비해 작은 대나무 모형의 통에 담겨진 미즈요캉. 당시 여름 시즌 한정으로 단품으로 작게 나오던거 같던데 현재는 판매를 안하는듯 하다. 양갱과 푸딩의 사이인 말랑거리면서 꾸덕하고 쫀득거리는 식감이어서 낯설었다. 말차 아이스크림  진한 말차의 맛이 느껴졌던 아이스크림. 녹차의 쓴맛과 아이스크림의 약간의 단맛이 잘 어울어졌다. 모찌방은 대체로 달지 않은 편이라 나에게는 더 입맛에 맞았다. 호지차 라떼   호지차(ほうじ茶)는 차나무의 잎을 볶아서 만든 차라 말차의 밝은 초록색이랑 달리 흙갈색 빛깔이 낸다. 호지차 라떼는 물 대신 우유로 만들어서 호지차의 진한 고소함과 우유의 부드러움이 느껴졌다. 예상치 못하게 매우 큰 잔에 나와서 숟가락으로 떠 먹어야할 비주얼이었지만 가격대비에 매우 만족스러운 맛과 양이다. 선릉에 살았을때 왜 이런 곳이 있었는지 몰랐을까.. 접근성이 조금 떨어지고 장소가 작지만 여유롭게 색다른 전통 일본식 디저트를 경험해보고 싶으면 한가한 시간에 방문 하는걸 추천한다.
        ",5
모찌방,2021-04-19,"
            ‘모찌방’하면 할 말이 좀 많다. 3년 전 어떤 지인 분께서 sns에 모찌방 사진을 올리신 걸 보고 ‘너무 가보고 싶다’고 생각을 했는데 어딘지는 못 여쭤봤다. 그런데 그 날따라 집에 있는데 망플 앱이 필자 위치를 다른 동네로 잘못 인식해서 선릉역 인근 식당들을 띄워줬다. 그 목록 평점 1위에 빛나는 곳이 바로 ‘모찌방’이었다. 그 때부터 모찌방과는 천생연분이구나 싶어서 꼭 가야겠다고 생각만 한 지 어연 3년.. 결국 드디어 모찌방에 갔다. 그만큼 기대가 컸다.  여기서는 모찌 외에도 ‘오하기’라는 것을 맛볼 수 있다. 오하기는 앙금을 겉에 두르고 안에 찹쌀을 뭉쳐서 놓은 ‘거꾸로 찹쌀떡’ 같은 것이다. 필자는 저녁 시간대에 갔는데, 백년초 모찌는 이미 품절이었고, 곡물 오하기는 필자가 마지막으로 사 갔다. 가격을 적어왔는데 계산된 영수증이랑 다른 걸 보니 뭔가 하나 가격이 틀린 것이 있든지, 포장비로 100원을 받으시는 모양이다. (???확실하지 않음!)■ 상주곶감 모찌 (계절메뉴, 3,800)  안에 작은 진짜 곶감을 넣어 놓고 겉을 찹쌀떡으로 감쌌다. 사장님께서 모찌 메뉴들은 당일 섭취를 권장하셨는데 사실 다음날 먹어도 나쁘지 않았다. 작은 조각으로 잘라서 사 온 당일 조금 먹고 다음날에 마저 먹었는데 찹쌀떡이 조금 굳기는 했지만 그래도 여전히 쫄깃한 편이었다. 물론 당일 먹는 것이 더 맛있기는 했다.■ 금귤 오하기 (계절메뉴 3,200)  다른 것들은 오 그렇지 이게 재료 본연의 슴슴한 단 맛이지, 같은 느낌이었는데 이 친구만 금귤을 엄청 달게 절여서 ‘오우 달다!’ 라는 느낌을 받았다.■ 밤 오하기 (3,500)  겉은 밤, 안은 찹쌀. 필자는 이게 제일 맛있었다. 화과자인데, 맛있는 화과자 같았다. (필자는 원래 화과자 안 좋아함) ■ 호두 오하기 (2,800)  겉은 팥, 안은 찹쌀. 흔히 먹는 평범한 찹쌀떡이랑 비슷한데, 자꾸 찹쌀이 씹히니까 신기했다. 팥에 호두가 콕콕 박혀 있었다. 팥이 달지 않아서 좋았다.■ 곡물 오하기 (2,800)  다른 오하기들은 맛은 다르지만 느낌은 어느 정도 비슷했다. 그러나 곡물 오하기는 아예 다른 계열의 메뉴 같았다. 겉에 찹쌀을 뭉쳐 놓고, 속에는 팥 소를 넣었다. 맨 마지막에는 인절미 콩고물 같은 것을 묻혀 놓았다.  3년 간 기대가 너무 커서인지 한 번에 사로잡는 맛은 없었는데, 어떤 거를 먹어도 슴슴하니 맛있었다. 단정하고 단아한 맛. 너무 튀지 않고 재료 자체의 맛을 이용해서 어르신들 선물해 드리기에 적합한 것 같다. 물론 필자도 좋았다. 양갱, 우키시마, 차도 먹으러 부지런히 자주 가야겠다.+) 또갔다■ 초당옥수수 오하기 (3,200)  이건 좀 트렌디하다.. 나쁘지 않음. 찹쌀이 쨕쨕 늘어나는 것과 통통한 옥수수, 부드러운 앙금이 식감이 잘 어울림. 말차 미즈요캉 먹은 후에 먹어서 그런지 별로 안 달고 고소했음.■ 말차 미즈요캉  여름 한정 메뉴이다. 설명서에도 써있지만 미즈요캉은 물양갱이라는 뜻이다. 서빙된 후 점원 분이 걸쭉한 말차(에 우유 같은 거 탄 듯)를 그릇에 부어주신다. 의외로 이게 전혀 안 달기 때문에 팥이랑 섞어 먹는 게 맛있다. 씁쓰름한 맛과 텁텁한 맛이 다 살아있는데 그래도 맛있음. 경단은 쫀독한데 경단만 단독으로 먹으니 아주 옅게 고무찰흙 냄새가 나서 음?! 싶었다. 양갱은 팥에 비해 덜 달다. 양갱 제대로 먹어본 게 처음이라서 묵 같은 식감일 줄 알았는데 먹어보니 뭉그러지는 식감이었다. 꽉차고 뒷맛이 은은하게 달았다.  이게 거의 8천원 대였는데 너무 비쌈.. 담엔 오하기랑 다른 음료 시도해 보는 걸로.
        ",5
모찌방,2021-03-17,"
          우리나라에서 몇 안되는, 제대로 된 일식 디저트를 맛볼 수 있는 곳모찌, 찹쌀떡 어찌 보면 같은 단어지만 일본과 우리나라 찹쌀떡은 여러모로 다른 스타일을 가지고 있다 가게 이름부터 여기는 일본스타일 모찌를 파는 곳인데 과하지 않은 단맛과 과하지 않은 떡의 쫄깃함으로 꽤나 고급지고 맛깔난다가게에선 차를 함께 주문 할 때 먹고 갈 수 있는데 제대로 된 말차를 마셔 볼 수 있으니 이것도 경험해보기 좋음
        ",5
모찌방,2020-12-31,"
          근처에 볼 일이 있어 들린 김에 망플을 키니 이 집이 가장 위에 떠있더라고요. 심지어 가보려고 별표까지 눌러둔 가게! 망설임없이 바로 총총 직행했습니다.연말+오후 시간이라 그런지 왼쪽의 4개는 이미 품절이었고,제가 먹을 수 있는 건 위의 4개가 전부였어요.말차와 호두는 다 나갔었는데 10여분 기다리면 살 수 있다길래 기다렸어요. 한번 만들고 다 팔리면 끝이 아니라, 중간에 한두번 더 만드시는 것 같더라고요. 중간중간 손님들로부터 오는 전화로 미루어 보건데, 재고상황을 미리 물어볼 수 있는 것 같았어요.집에 와서 말차, 단호박, 호두 하나씩 먹어봤는데아... 저 분명 말차도 단호박도 정말 좋아하고, 사실 떡 싫어하는데호두 대체 뭐죠 진짜 이 마성의 맛은....튜닝의 끝은 순정이라더니 진짜 이건 가장 기본적이면서도 가장 엄청난 맛이네요. 한국에서 이런 맛있는 모찌는 정말 처음 먹어봤어요. 다음에는 꼭 미리 전화해서 재고 확인하고 가야겠어요. 
        ",5
모찌방,2020-10-29,"
           가을, 떡방아 찧는 계절엔 찹쌀떡 ""모찌와 차가 함께 하는 고요한 공간"" ​#모찌방 작은 가게 안이 참 고요하다. 차와 다기 기구들, 찹쌀떡들만이 소리를 내는 것 같다. ​'정갈' 이란 단어 그 자체인 일식 디저트집. 일본식 전통 차와 정성스레 빚은 찹쌀모찌, 양갱, 경단, 우키시마, 푸딩 을 계절별로 낸다. 포장 디자인들도 예뻐서 선물용으로 좋다. 말차, 세작, 호지차는 제주와 보성에서 공수한다. ​#9月 모찌는 단호박, 대추가 주제였다.가을의 맛이 살살 녹아 있다. ​#말차카라멜 안 달고 진한 풍미가 너무 좋았다. ​#밤오하기 를 먹어봤다. #오하기 는 멥쌀과 찹쌀을 섞은 반죽을 찐 후,  팥앙금을 묻힌 디저트. 밥과 단 디저트라니?! 거부감이 들었지만, 먹어보니 잘 스며드는 맛이다. ​화려하지 않지만 마음 편해지는 곳이었다. ​------------------------------------------------✔️서울 역삼역,  강남구 삼성로75길 41✔️ 11:30~19:30, 월 휴무  ✔️ 제주 유기농 말차 (6,000원), 대추라뗴 (5,800원), 양갱 (1,200원), 오하기/모찌 (3,000원) + 테이블은 다과 세트로 이용 가능. 2시간 제한. + TMI ) 파티세리 '세드라' 와 가깝다. 성수동 티 코스를 선보이는 '맛차차' 일부 코스에 
        ",5
